stream,section,date,start,stop,agency,crew,watervis,cloud,wind,weather,survey notes,reddID,clusterID,photoID,WPT,history,change,type,sup,propsup,fish,age,pottemp,PL,PW,TL,TW1,TW2,excavation,cover,covertype,comments
lower,2,2019-05-28,10:15,10:26,UW,JRB LMB,good,6,none,sun,NA,L-R-001,L-CL-001,L-R-001-002_0528,NA,repeat,,TRUE,0,0,no,2,9.4,38,34,93,67,76,NA,,,"shared tailspill measurements with L-R-001 and L-R-002, *scour is filling in pots, approaching age 3"
lower,2,2019-05-28,10:15,10:26,UW,JRB LMB,good,6,none,sun,NA,L-R-002,L-CL-001,L-R-001-002_0528,NA,repeat,,test,0,0,no,2,9.4,50,36,93,67,76,NA,,,"shared tailspill measurements with L-R-001 and L-R-002, *scour is filling in pots, approaching age 3"
lower,2,2019-06-01,10:40,10:51,UW,JRB LMB,good,1,light,sun,NA,L-R-001,L-CL-001,L-R-001-002_0601,NA,repeat,,TRUE,0,0,no,2,10,46,36,96,67,71,NA,,,"shared tailspill measurements with L-R-001 and L-R-002, approaching age 3"
lower,2,2019-06-01,10:40,10:51,UW,JRB LMB,good,1,light,sun,NA,L-R-002,L-CL-001,L-R-001-002_0601,NA,repeat,,test,0,0,no,2,10,46,36,96,67,71,NA,,,"shared tailspill measurements with L-R-001 and L-R-002, approaching age 3"
lower,2,2019-06-04,11:20,11:37,UW,JRB NMH,good,0,none,sun,NA,L-R-001,L-CL-001,L-R-001-002_0604,NA,repeat,,TRUE,0,0,no,3,10.8,NA,NA,NA,NA,NA,NA,,,"did not take redd dimensions, margins unclear"
lower,2,2019-06-04,11:20,11:37,UW,JRB NMH,good,0,none,sun,NA,L-R-002,L-CL-001,L-R-001-002_0604,NA,repeat,,test,0,0,no,3,10.8,NA,NA,NA,NA,NA,NA,,,"did not take redd dimensions, margins unclear"
lower,2,2019-06-08,9:52,10:07,UW,JRB LMB,good,8,light,overcast,NA,L-R-001,L-CL-001,20190608_095358.jpg,NA,repeat,,TRUE,0,0,no,3,8.9,NA,NA,NA,NA,NA,NA,,,dimensions not measured
lower,2,2019-06-08,9:52,10:07,UW,JRB LMB,good,8,light,overcast,NA,L-R-002,L-CL-001,20190608_095358.jpg,NA,repeat,,test,0,0,no,3,8.9,NA,NA,NA,NA,NA,NA,,,dimensions not measured
lower,2,2019-06-11,10:00,NA,UW,"JRB, NMH",good,4,none,sun,NA,L-R-001,L-CL-001,20190611_100132.jpg,NA,repeat,,TRUE,0,0,no,3,9.6,NA,NA,NA,NA,NA,NA,,,"dimensions not measured, margins unclear"
lower,2,2019-06-11,10:00,NA,UW,"JRB, NMH",good,4,none,sun,NA,L-R-002,L-CL-001,20190611_100132.jpg,NA,repeat,,test,0,0,no,3,9.6,NA,NA,NA,NA,NA,NA,,,"dimensions not measured, margins unclear"
lower,3,2019-06-11,10:00,NA,UW,"JRB, NMH",good,4,none,sun,NA,L-R-003,L-CL-004,20190611_100132.jpg,NA,new,,test,0,0,no,1,9.8,32,28,NA,NA,NA,NA,,,tailspill not measured/ not well defined
lower,4,2019-06-11,10:00,NA,UW,"JRB, NMH",good,4,none,sun,NA,L-R-004,,20190611_103341.jpg,NA,new,,test,0,0,no,1,10,52,47,57,55,49,NA,,,"fish on redd initially? Spooked off. Small tailspill,scour on both sides of pot (triangular pot)"
lower,2,2019-06-13,10:49,12:24,UW,"LMB, JRB",good,9,light,overcast,NA,L-R-001,L-CL-001,20190613_104313.jpg,NA,repeat,,TRUE,0,0,no,3,10.3,NA,NA,NA,NA,NA,NA,,,NA
lower,2,2019-06-13,10:49,12:24,UW,"LMB, JRB",good,9,light,overcast,NA,L-R-002,L-CL-001,20190613_104313.jpg,NA,repeat,,test,0,0,no,3,10.4,NA,NA,NA,NA,NA,NA,,,NA
lower,2,2019-06-13,10:49,12:24,UW,"LMB, JRB",good,9,light,overcast,NA,L-R-005,L-CL-002,20190613_105457.jpg,NA,new,,TRUE,0,0,no,1,10.3,55,51,96,65,70,NA,,,tailspill looks incomplete 
lower,3,2019-06-13,10:49,12:24,UW,"LMB, JRB",good,9,light,overcast,NA,L-R-003,L-CL-004,20190613_112712.jpg,NA,repeat,,TRUE,0,0,no,2,10.3,32,40,90,78,64,NA,,,strange scoop river left of pot
lower,4,2019-06-13,10:49,12:24,UW,"LMB, JRB",good,9,light,overcast,NA,L-R-004,,20190613_121215.jpg,NA,repeat,,TRUE,0,0,no,2,10.7,58,66,72,66,52,NA,,,large cobble constraining pot dimensions
lower,2,2019-06-15,9:48,11:11,UW,"LMB, JRB",good,0,light,sun,NA,L-R-001,L-CL-001,20190615_094951.jpg,NA,repeat,,TRUE,0,0,no,3,10,NA,NA,NA,NA,NA,NA,,,NA
lower,2,2019-06-15,9:48,11:11,UW,"LMB, JRB",good,0,light,sun,NA,L-R-002,L-CL-001,20190615_094951.jpg,NA,repeat,,test,0,0,no,3,9.8,NA,NA,NA,NA,NA,NA,,,NA
lower,2,2019-06-15,9:48,11:11,UW,"LMB, JRB",good,0,light,sun,NA,L-R-005,L-CL-002,20190615_095923.jpg,NA,repeat,,TRUE,0,0,no,2,9.8,64,37,85,62,63,NA,,,potential second redd river left of pot
lower,3,2019-06-15,9:48,11:11,UW,"LMB, JRB",good,0,light,sun,NA,L-R-003,L-CL-004,20190615_102638.jpg,NA,repeat,,TRUE,0,0,no,2,10.4,31,39,88,83,71,NA,,,NA
lower,4,2019-06-15,9:48,11:11,UW,"LMB, JRB",good,0,light,sun,NA,L-R-004,,20190615_110557.jpg,NA,repeat,,TRUE,0,0,no,2,11,61,64,58,54,52,NA,,,no obvious change
lower,2,2019-06-18,9:51,10:24,UW,"JRB, NMH",good,2,light,sun,no new redds,L-R-001,L-CL-001,20190618_095242.jpg,NA,repeat,,TRUE,0,0,no ,3,9.6,NA,NA,NA,NA,NA,NA,,,not measureable
lower,2,2019-06-18,9:51,10:24,UW,"JRB, NMH",good,2,light,sun,no new redds,L-R-002,L-CL-001,20190618_095242.jpg,NA,repeat,,test,0,0,no ,3,9.7,NA,NA,NA,NA,NA,NA,,,not measureable
lower,2,2019-06-18,9:51,10:24,UW,"JRB, NMH",good,2,light,sun,no new redds,L-R-005,L-CL-002,20190618_095913.jpg,NA,repeat,,TRUE,0,0,no ,2,9.8,57,38,102,77,77,NA,,,potential second pit RL of primary pit
lower,3,2019-06-18,9:51,10:24,UW,"JRB, NMH",good,2,light,sun,no new redds,L-R-003,L-CL-004,20190618_100801.jpg,NA,repeat,,TRUE,0,0,no ,2,9.9,44,40,80,72,74,NA,,,NA
lower,4,2019-06-18,9:51,10:24,UW,"JRB, NMH",good,2,light,sun,no new redds,L-R-004,,20190618_101715.jpg,NA,repeat,,TRUE,0,0,no ,2,10,59,62,66,62,56,NA,,,no appearant change 
lower,2,2019-06-21,10:30,13:15,UW,"JRB, LMB",good,5,light,sun,NA,L-R-001,L-CL-001,20190621_103147.jpg,NA,repeat,,TRUE,0,0,no ,3,9.7,NA,NA,NA,NA,NA,NA,,,not measureable
lower,2,2019-06-21,10:30,13:15,UW,"JRB, LMB",good,5,light,sun,NA,L-R-002,L-CL-001,20190621_103147.jpg,NA,repeat,,test,0,0,no ,3,9.7,NA,NA,NA,NA,NA,NA,,,not measureable
lower,2,2019-06-21,10:30,13:15,UW,"JRB, LMB",good,5,light,sun,NA,L-R-006,,20190621_103856.jpg,NA,new,,test,0,0,no ,1,9.7,36,36,37,33,31,NA,,,oblique to flow
lower,2,2019-06-21,10:30,13:15,UW,"JRB, LMB",good,5,light,sun,NA,L-R-007,,20190621_104548.jpg,NA,new,,TRUE,0,0,no ,1,9.8,45,32,25,39,NA,NA,,,in progress- tailspill too small for two width measurements
lower,2,2019-06-21,10:30,13:15,UW,"JRB, LMB",good,5,light,sun,NA,L-R-005,L-CL-002,20190621_105155.jpg,NA,repeat,,TRUE,0,0,no ,2,9.8,58,38,115,81,77,NA,,,NA
lower,3,2019-06-21,10:30,13:15,UW,"JRB, LMB",good,5,light,sun,NA,L-R-003,L-CL-004,20190621_112557.jpg,NA,repeat,,TRUE,0,0,no ,2,10.3,42,46,83,69,71,NA,,,NA
lower,3,2019-06-21,10:30,13:15,UW,"JRB, LMB",good,5,light,sun,NA,L-R-008,L-CL-005,20190621_114454.jpg,NA,new,,TRUE,0,0,no ,1,10.4,49,38,170,65,54,NA,,,L-R-008 and L-R-009 share tailspill measurements 
lower,3,2019-06-21,10:30,13:15,UW,"JRB, LMB",good,5,light,sun,NA,L-R-009,L-CL-005,20190621_114454.jpg,NA,new,,test,1,0,no ,1,10.4,42,42,170,65,54,NA,,,"L-R-008 and L-R-009 share tailspill measurements, possibly a test dig by same female as L-R-008, pot less excavated than L-R-009"
lower,4,2019-06-21,10:30,13:15,UW,"JRB, LMB",good,5,light,sun,NA,L-R-004,,20190621_115550.jpg,NA,repeat,,TRUE,0,0,no ,2,10.7,59,59,71,65,56,NA,,,NA
lower,4,2019-06-21,10:30,13:15,UW,"JRB, LMB",good,5,light,sun,NA,L-R-010,,20190621_120427.jpg,NA,new,,TRUE,0,0,no ,1,10.7,54,52,80,59,55,NA,,,potential test dig river right of pot
lower,6,2019-06-21,10:30,13:15,UW,"JRB, LMB",good,5,light,sun,NA,L-R-011,L-CL-008,20190621_121906.jpg,NA,new,,TRUE,1,3,no ,1,10.6,66,28,130,NA,NA,NA,,,Tailspill width obscured by L-R-012
lower,6,2019-06-21,10:30,13:15,UW,"JRB, LMB",good,5,light,sun,NA,L-R-012,L-CL-008,20190621_121906.jpg,NA,new,,TRUE,1,0,no ,1,10.6,54,43,120,69,55,NA,,,NA
lower,6,2019-06-21,10:30,13:15,UW,"JRB, LMB",good,5,light,sun,NA,L-R-013,,20190621_122849.jpg,NA,new,,test,0,0,no ,1,10.6,30,35,24,42,NA,NA,,,Tailspill too small for two width measurements
lower,7,2019-06-21,10:30,13:15,UW,"JRB, LMB",good,5,light,sun,NA,L-R-014,L-CL-010,20190621_124233.jpg,NA,new,,TRUE,1,1,no ,1,10.2,NA,NA,283,140,130,NA,,,Huge-Likely to be many redds
lower,7,2019-06-21,10:30,13:15,UW,"JRB, LMB",good,5,light,sun,NA,L-R-015,L-CL-010,20190621_124233.jpg,NA,new,,TRUE,1,0,no ,1,10.2,47,40,79,64,57,NA,,,Pot measurements uncertian
lower,7,2019-06-21,10:30,13:15,UW,"JRB, LMB",good,5,light,sun,NA,L-R-016,,20190621_125320.jpg,NA,new,,TRUE,0,0,no ,1,10.1,65,57,83,57,47,NA,,,NA
lower,7,2019-06-21,10:30,13:15,UW,"JRB, LMB",good,5,light,sun,NA,L-R-017,,20190621_130040.jpg,NA,new,,TRUE,0,0,no ,1,10.1,82,78,135,104,95,NA,,,Large cobbles in tailspill and abnormal tailspill geometry
lower,7,2019-06-21,10:30,13:15,UW,"JRB, LMB",good,5,light,sun,NA,L-R-018,,20190621_130631.jpg,NA,new,,TRUE,0,0,no ,1,10,82,85,186,82,71,NA,,,"Large Pot, potentially multipule redds"
upper,1,2019-06-19,10:25,11:38,UW,"JRB, NMH",good,2,light,sun,"Fish doing things! ""OMG I'm so excited""- Jeff",U-R-001,U-CL-005,20190619_102615.jpg,NA,new,,TRUE,0,4,no,1,11.7,43,30,126,105,87,NA,,,U-R-001 and U-R-002 share tailspill measurements. Potential 3rd pot just upstream 
upper,1,2019-06-19,10:25,11:38,UW,"JRB, NMH",good,2,light,sun,"Fish doing things! ""OMG I'm so excited""- Jeff",U-R-002,U-CL-005,20190619_102615.jpg,NA,new,,TRUE,0,4,no,1,11.7,43,37,126,105,87,NA,,,U-R-001 and U-R-002 share tailspill measurements. Potential 3rd pot just upstream 
upper,2,2019-06-19,10:25,11:38,UW,"JRB, NMH",good,2,light,sun,"Fish doing things! ""OMG I'm so excited""- Jeff",U-R-003,,20190619_104713.jpg,NA,new,,TRUE,0,0,yes,1,10.9,66,73,69,78,65,NA,,,"three fish seen on redd, very large pot. "
upper,1,2019-06-23,10:55,13:03,UW,"LMB, JRB",good,5,moderate,sun,NA,U-R-004,,20190623_105733.jpg,NA,new,,TRUE,0,0,no,1,11.9,46,43,57,45,42,NA,,,"First observed 6/22/19, multiple test digs immediately upstream"
upper,1,2019-06-23,10:55,13:03,UW,"LMB, JRB",good,5,moderate,sun,NA,U-R-005,,20190623_110610.jpg,NA,new,,test,0,0,no,1,11.8,50,32,47,54,49,NA,,,First observed 6/21/19
upper,1,2019-06-23,10:55,13:03,UW,"LMB, JRB",good,5,moderate,sun,NA,U-R-001,U-CL-005,20190623_111507.jpg,NA,repeat,,TRUE,0,4,no,2,11.6,42,36,136,108,92,"excavated one white bucket from U-R-001 and U-R-002 tailspill, no eggs found",,,U-R-001 and U-R-002 share TS measurements
upper,1,2019-06-23,10:55,13:03,UW,"LMB, JRB",good,5,moderate,sun,NA,U-R-002,U-CL-005,20190623_11507.jpg,NA,repeat,,TRUE,0,4,no,2,11.7,46,38,136,108,92,"excavated one white bucket from U-R-001 and U-R-002 tailspill, no eggs found",,,U-R-001 and U-R-002 share TS measurements
upper,1,2019-06-23,10:55,13:03,UW,"LMB, JRB",good,5,moderate,sun,NA,U-R-006,U-CL-017,20190623_113424.jpg,NA,new,,test,0,0,no,1,11.6,41,36,52,47,42,NA,,,NA
upper,2,2019-06-23,10:55,13:03,UW,"LMB, JRB",good,5,moderate,sun,NA,U-R-007,U-CL-010,20190623_114453.jpg,NA,new,,test,0,0,no,1,11.1,58,46,80,60,48,NA,,,Pot not well defined
upper,2,2019-06-23,10:55,13:03,UW,"LMB, JRB",good,5,moderate,sun,NA,U-R-008,,20190623_115131.jpg,NA,new,,test,0,0,no,1,10.9,34,27,28,35,NA,NA,,,TS too small for two width measurements
upper,2,2019-06-23,10:55,13:03,UW,"LMB, JRB",good,5,moderate,sun,NA,U-R-003,,20190623_120234.jpg,NA,repeat,,TRUE,0,0,no,2,10.7,62,68,80,77,66,"excavated one white bucket from TS, no eggs found",,,NA
upper,1,2019-06-27,9:50,12:16,UW,"JRB, LMB, AW",good,0,light,sun,NA,U-R-004,,20190627_095020.jpg,NA,repeat,,TRUE,0,0,no,2,NA,49,32,68,56,49,NA,,,NA
upper,1,2019-06-27,9:50,12:16,UW,"JRB, LMB, AW",good,0,light,sun,NA,U-R-009,,20190627_095728.jpg,NA,new,,TRUE,0,0,no,1,NA,50,50,70,62,58,NA,,,NA
upper,1,2019-06-27,9:50,12:16,UW,"JRB, LMB, AW",good,0,light,sun,NA,U-R-005,,20190627_100040.jpg,NA,repeat,,test,0,0,no,2,NA,43,30,48,59,NA,NA,,,NA
upper,1,2019-06-27,9:50,12:16,UW,"JRB, LMB, AW",good,0,light,sun,NA,U-R-010,U-CL-003,20190627_100633.jpg,NA,new,,TRUE,0,0,no,1,NA,68,89,178,74,65,NA,,,NA
upper,1,2019-06-27,9:50,12:16,UW,"JRB, LMB, AW",good,0,light,sun,NA,U-R-011,U-CL-002,20190627_101341.jpg,NA,new,,TRUE,0,0,no,1,NA,61,87,122,83,56,NA,,,big cobbles in pot
upper,1,2019-06-27,9:50,12:16,UW,"JRB, LMB, AW",good,0,light,sun,NA,U-R-012,U-CL-002,20190627_101810.jpg,NA,new,,TRUE,0,0,no,1,NA,48,62,94,59,51,NA,,,almost overlapping U-R-011
upper,1,2019-06-27,9:50,12:16,UW,"JRB, LMB, AW",good,0,light,sun,NA,U-R-013,,20190627_102126.jpg,NA,new,,test,0,0,no,1,NA,26,28,52,43,NA,NA,,,NA
upper,1,2019-06-27,9:50,12:16,UW,"JRB, LMB, AW",good,0,light,sun,NA,U-R-001,U-CL-005,20190627_102820.jpg,NA,repeat,,TRUE,0,4,no,2,NA,25,41,144,104,92,NA,,,shared TS with U-R-002
upper,1,2019-06-27,9:50,12:16,UW,"JRB, LMB, AW",good,0,light,sun,NA,U-R-002,U-CL-005,20190627_102820.jpg,NA,repeat,,TRUE,0,4,no,2,NA,30,40,144,104,92,NA,,,shared TS with U-R-001
upper,1,2019-06-27,9:50,12:16,UW,"JRB, LMB, AW",good,0,light,sun,NA,U-R-006,U-CL-017,20190627_103451.jpg,NA,repeat,,TRUE,0,0,no,2,NA,64,70,115,69,62,NA,,,NA
upper,1,2019-06-27,9:50,12:16,UW,"JRB, LMB, AW",good,0,light,sun,NA,U-R-014,,20190627_104155,NA,new,,test,0,0,no,1,NA,45,41,68,60,NA,NA,,,NA
upper,2,2019-06-27,9:50,12:16,UW,"JRB, LMB, AW",good,3,light,sun,right fork murky,U-R-007,U-CL-010,20190627_105053.jpg,NA,repeat,,TRUE,0,0,no,2,NA,51,65,136,55,59,NA,,,NA
upper,2,2019-06-27,9:50,12:16,UW,"JRB, LMB, AW",good,3,light,sun,NA,U-R-008,,20190627_105814.jpg,NA,repeat,,test,0,0,no,2,NA,29,21,43,37,NA,NA,,,no new activity
upper,2,2019-06-27,9:50,12:16,UW,"JRB, LMB, AW",good,3,light,sun,NA,U-R-015,U-CL-011,20190627_110112.jpg,NA,new,,TRUE,0,0,no,1,NA,45,39,145,89,68,NA,,,NA
upper,2,2019-06-27,9:50,12:16,UW,"JRB, LMB, AW",good,3,light,sun,NA,U-R-003,,20190627_110807.jpg,NA,repeat,,TRUE,0,0,no,2,NA,53,66,86,68,57,NA,,,small test RR
upper,1,2019-06-30,10:36,11:16,UW,"JRB, LMB, NMH",good,7,light,overcast,NA,U-R-016,,20190630_103813.jpg,NA,new,,TRUE,0,0,no,1,NA,74,69,67,45,52,NA,,,NA
upper,1,2019-06-30,10:36,11:16,UW,"JRB, LMB, NMH",good,7,light,overcast,NA,U-R-017,U-CL-001,20190630_104149.jpg,NA,new,,test,1,0,no,1,NA,44,41,78,61,39,NA,,,shared TS with U-R-018
upper,1,2019-06-30,10:36,11:16,UW,"JRB, LMB, NMH",good,7,light,overcast,NA,U-R-018,U-CL-001,20190630_104149.jpg,NA,new,,test,1,0,no,1,NA,42,46,78,61,39,NA,,,shared TS with U-R-017
upper,1,2019-06-30,10:36,11:16,UW,"JRB, LMB, NMH",good,7,light,overcast,NA,U-R-004,,20190630_104633.jpg,NA,repeat,,TRUE,0,0,no,2,NA,49,35,57,51,50,NA,,,no obvious change
upper,1,2019-06-30,10:36,11:16,UW,"JRB, LMB, NMH",good,7,light,overcast,NA,U-R-009,,20190630_105138.jpg,NA,repeat,,TRUE,0,0,no,2,NA,55,51,66,65,63,NA,,,two fish circling near redd
upper,1,2019-06-30,10:36,11:16,UW,"JRB, LMB, NMH",good,7,light,overcast,NA,U-R-005,,20190630_105530.jpg,NA,repeat,,test,0,0,no,2,NA,42,35,48,54,NA,NA,,,NA
upper,1,2019-06-30,10:36,11:16,UW,"JRB, LMB, NMH",good,7,light,overcast,NA,U-R-019,,20190630_105747.jpg,NA,new,,TRUE,0,0,no,1,NA,54,44,72,52,53,NA,,,NA
upper,1,2019-06-30,10:36,11:16,UW,"JRB, LMB, NMH",good,7,light,overcast,NA,U-R-011,U-CL-002,20190630_110428.jpg,NA,repeat,,TRUE,1,1,no,2,NA,NA,NA,146,107,84,NA,,,pot filled in by U-R-012's TS
upper,1,2019-06-30,10:36,11:16,UW,"JRB, LMB, NMH",good,7,light,overcast,NA,U-R-012,U-CL-002,20190630_110648.jpg,NA,repeat,,TRUE,1,0,no,2,NA,81,75,223,68,71,"excavated 1/3 bucket, no eggs, many big cobbles that immediately turn to fine silt below surface of TS",,,"new activity, pot advancing upstream"
upper,1,2019-06-30,10:36,11:16,UW,"JRB, LMB, NMH",good,7,light,overcast,NA,U-R-010,U-CL-003,20190630_111117.jpg,NA,repeat,,TRUE,0,0,no,2,NA,86,79,174,73,82,NA,,,NA
upper,1,2019-06-30,10:36,11:16,UW,"JRB, LMB, NMH",good,7,light,overcast,NA,U-R-020,,20190630_111429.jpg,NA,new,,test,0,0,no,1,NA,38,42,54,40,NA,NA,,,first observed 6/27/19
upper,1,2019-06-30,11:16,12:05,UW,"JRB, LMB, NMH",good,9,light,overcast,NA,U-R-013,,20190630_111713.jpg,NA,repeat,,test,0,0,no,2,NA,42,32,45,38,NA,NA,,,no apparent change
upper,1,2019-06-30,11:16,12:05,UW,"JRB, LMB, NMH",good,9,light,overcast,NA,U-R-021,U-CL-018,20190630_112056.jpg,NA,new,,TRUE,0,0,no,1,NA,53,79,146,67,65,NA,,,"TS dome is short, in progress"
upper,1,2019-06-30,11:16,12:05,UW,"JRB, LMB, NMH",good,9,light,overcast,NA,U-R-001,U-CL-005,20190630_112635.jpg,NA,repeat,,TRUE,0,4,no,2,NA,40,35,139,97,95,NA,,,shared TS measurements with U-R-002
upper,1,2019-06-30,11:16,12:05,UW,"JRB, LMB, NMH",good,9,light,overcast,NA,U-R-002,U-CL-005,20190630_112635.jpg,NA,repeat,,TRUE,0,4,no,2,NA,59,43,139,97,95,NA,,,shared TS measurements with U-R-001
upper,1,2019-06-30,11:16,12:05,UW,"JRB, LMB, NMH",good,9,light,overcast,NA,U-R-006,U-CL-017,20190630_113714.jpg,NA,repeat,,TRUE,0,0,no,2,NA,78,53,104,66,51,NA,,,NA
upper,1,2019-06-30,11:16,12:05,UW,"JRB, LMB, NMH",good,9,light,overcast,NA,U-R-014,,20190630_114234.jpg,NA,repeat,,test,0,0,no,2,NA,54,55,55,49,NA,NA,,,NA
upper,1,2019-06-30,11:16,12:05,UW,"JRB, LMB, NMH",good,9,light,overcast,NA,U-R-022,U-CL-008,20190630_114845.jpg,NA,new,,test,1,0,no,1,NA,NA,NA,NA,NA,NA,NA,,,dimensions unclear
upper,1,2019-06-30,11:16,12:05,UW,"JRB, LMB, NMH",good,9,light,overcast,NA,U-R-023,U-CL-008,20190630_114845.jpg,NA,new,,test,1,0,no,1,NA,NA,NA,NA,NA,NA,NA,,,dimensions unclear
upper,1,2019-06-30,11:16,12:05,UW,"JRB, LMB, NMH",good,9,light,overcast,NA,U-R-024,U-CL-009,20190630_115333.jpg,NA,new,,TRUE,1,0,no,1,NA,66,52,103,39,45,NA,,,NA
upper,1,2019-06-30,11:16,12:05,UW,"JRB, LMB, NMH",good,9,light,overcast,NA,U-R-025,U-CL-009,20190630_115333.jpg,NA,new,,TRUE,1,1,no,1,NA,53,52,70,78,72,NA,,,NA
upper,2,2019-06-30,11:16,12:05,UW,"JRB, LMB, NMH",good,9,light,overcast,NA,U-R-007,U-CL-010,20190630_120336.jpg,NA,repeat,,TRUE,0,0,no,2,NA,64,58,121,57,59,"excavated one bucket, no eggs, many fines <10cm below TS surface",,,NA
upper,2,2019-06-30,12:05,13:00,UW,"JRB, LMB, NMH",good,9,light,overcast,stopped survey at fountain of youth,U-R-008,,20190630_120741.jpg,NA,repeat,,test,0,0,no,2,NA,28,23,25,24,NA,NA,,,NA
upper,2,2019-06-30,12:05,13:00,UW,"JRB, LMB, NMH",good,9,light,overcast,stopped survey at fountain of youth,U-R-015,U-CL-011,20190630_121225.jpg,NA,repeat,,TRUE,1,5,no,2,NA,41,42,153,103,81,"excavated 1.3 buckets, no eggs found, many fines <10 cm below TS surface",,,shared TS with U-R-026
upper,2,2019-06-30,12:05,13:00,UW,"JRB, LMB, NMH",good,9,light,overcast,stopped survey at fountain of youth,U-R-026,U-CL-011,20190630_121225.jpg,NA,new,,TRUE,1,0,no,1,NA,49,38,153,103,81,"excavated 1.3 buckets, no eggs found ",,,shared TS with U-R-015
upper,2,2019-06-30,12:05,13:00,UW,"JRB, LMB, NMH",good,9,light,overcast,stopped survey at fountain of youth,U-R-027,,20190630_121722.jpg,NA,new,,TRUE,0,0,no,1,NA,48,50,82,71,62,NA,,,"TS dome is short, in progress"
upper,2,2019-06-30,12:05,13:00,UW,"JRB, LMB, NMH",good,9,light,overcast,stopped survey at fountain of youth,U-R-003,,20190630_122007.jpg,NA,repeat,,TRUE,0,0,no,2,NA,74,55,78,66,60,NA,,,small test RR of pot
upper,2,2019-06-30,12:05,13:00,UW,"JRB, LMB, NMH",good,9,light,overcast,stopped survey at fountain of youth,U-R-028,U-CL-013,20190630_122905.jpg,NA,new,,TRUE,1,3,no,1,NA,52,60,151,137,114,NA,,,shared TS with U-R-029
upper,2,2019-06-30,12:05,13:00,UW,"JRB, LMB, NMH",good,9,light,overcast,stopped survey at fountain of youth,U-R-029,U-CL-013,20190630_122905.jpg,NA,new,,TRUE,1,3,no,1,NA,52,54,151,137,114,NA,,,"shared TS with U-R-028, short dome"
lower,2,2019-06-24,11:38,15:05,UW,"JRB, NMH",good,3,moderate,sun,NA,L-R-001,L-CL-001,20190624_113938.jpg,NA,repeat,,TRUE,0,0,no,3,11,NA,NA,NA,NA,NA,NA,,,dimensions unclear
